grade,domain,skill_group,lesson_title,activity_variant,Student A,Student B,title_aggregate_Student A,title_aggregate_Student B
Preschool (Age 3): ELA,Reading Foundational Skills - Phonics,CVC Words - Middle Sounds,Words with i,Practice 2,,,,100%
Preschool (Age 3): ELA,Reading Foundational Skills - Phonics,CVC Words - Middle Sounds,Words with o,Main,,100%,,88%
Preschool (Age 3): ELA,Reading Foundational Skills - Phonics,CVC Words - Middle Sounds,Words with o,Practice 1,,88%,,88%
Preschool (Age 3): ELA,Reading Foundational Skills - Phonics,CVC Words - Middle Sounds,Words with o,Practice 2,,,,88%
Preschool (Age 3): ELA,Reading Foundational Skills - Phonics,CVC Words - Middle Sounds,Words with u,Main,,88%,,88%
Preschool (Age 3): ELA,Reading Foundational Skills - Phonics,CVC Words - Middle Sounds,Words with u,Practice 1,,88%,,88%
Preschool (Age 3): ELA,Reading Foundational Skills - Phonics,CVC Words - Middle Sounds,Words with u,Practice 2,,,,88%
Preschool (Age 3): ELA,Writing,"Writing Lines, Letters, Words",Draw Lines,Direct,,,,
Preschool (Age 3): ELA,Writing,"Writing Lines, Letters, Words","Draw Lines, Shapes",Direct,,,,
Preschool (Age 3): ELA,Writing,"Writing Lines, Letters, Words","Letters, Numbers",Direct,,,,
Preschool (Age 3): ELA,Writing,"Writing Lines, Letters, Words",Write Words,Direct,,,,
Preschool (Age 3): ELA,Writing,"Writing Lines, Letters, Words",Lines and Circles,Direct,,,,
Preschool (Age 3): ELA,Language,Vocabulary & Sorting Objects,Farm Animals,Main,,85%,,100%
Preschool (Age 3): ELA,Language,Vocabulary & Sorting Objects,Farm Animals,Practice 1,,100%,,100%
Preschool (Age 3): ELA,Language,Vocabulary & Sorting Objects,Farm Animals,Practice 2,,,,100%
Preschool (Age 3): ELA,Language,Vocabulary & Sorting Objects,Vehicles,Main,,92%,,92%
Preschool (Age 3): ELA,Language,Vocabulary & Sorting Objects,Vehicles,Practice 1,,88%,,92%
Preschool (Age 3): ELA,Language,Vocabulary & Sorting Objects,Vehicles,Practice 2,,,,92%
Preschool (Age 3): ELA,Language,Vocabulary & Sorting Objects,Food,Main,,100%,,100%
Preschool (Age 3): ELA,Language,Vocabulary & Sorting Objects,Food,Practice 1,,,,100%
Preschool (Age 3): ELA,Language,Vocabulary & Sorting Objects,Around the House,Direct,,100%,,100%
Preschool (Age 3): ELA,Language,Vocabulary & Sorting Objects,Animals & Colors,Main,,100%,,100%
Preschool (Age 3): ELA,Language,Vocabulary & Sorting Objects,Animals & Colors,Practice 1,,,,100%
Preschool (Age 3): ELA,Language,Vocabulary & Sorting Objects,Animals & Colors,Practice 2,,,,100%
Preschool (Age 3): ELA,Language,Vocabulary & Sorting Objects,Weather,Main,,88%,,83%
Preschool (Age 3): ELA,Language,Vocabulary & Sorting Objects,Weather,Practice 1,,83%,,83%
Preschool (Age 3): ELA,Language,Vocabulary & Sorting Objects,Weather,Practice 2,,,,83%
Preschool (Age 3): ELA,Language,Vocabulary & Sorting Objects,Fruit,Main,,100%,,100%
Preschool (Age 3): ELA,Language,Vocabulary & Sorting Objects,Fruit,Practice 1,,,,100%
Preschool (Age 3): ELA,Language,Vocabulary & Sorting Objects,Jungle Animals,Main,,100%,,100%
Preschool (Age 3): ELA,Language,Vocabulary & Sorting Objects,Jungle Animals,Practice 1,,,,100%
Preschool (Age 3): ELA,Language,Vocabulary & Sorting Objects,Jungle Animals,Practice 2,,,,100%
Preschool (Age 3): ELA,Language,Vocabulary & Sorting Objects,Kitchen,Direct,,100%,,100%
Preschool (Age 3): ELA,Language,Vocabulary & Sorting Objects,Outdoors,Main,,100%,,100%
Preschool (Age 3): ELA,Language,Opposites,Opposites 1,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Language,Opposites,Opposites 2,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Language,Opposites,Opposites 3,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Literature,Early Readers,Mud,Direct,,,,
Preschool (Age 3): ELA,Reading Literature,Early Readers,Sad Ollo,Direct,,,,
Preschool (Age 3): ELA,Reading Literature,Early Readers,The Big Bed,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Literature,Early Readers,Reya's Bug,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Literature,Early Readers,What Is It?,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Literature,Early Readers,Jam in the Vat,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Literature,Early Readers,So Hot,Direct,,,,
Preschool (Age 3): ELA,Reading Literature,Early Readers,Hop Hop Hop,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Literature,Early Readers,The Cup Is Up,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Literature,Early Readers,Look At My Pen,Direct,,,,
Preschool (Age 3): ELA,Reading Literature,Early Readers,Look at It Go,Direct,,,,
Preschool (Age 3): ELA,Reading Literature,Early Readers,Come On,Direct,,,,
Preschool (Age 3): ELA,Reading Literature,Early Readers,Peck's Big Day,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Literature,Early Readers,Gum on the Rug,Direct,,,,
Preschool (Age 3): ELA,Reading Literature,Early Readers,Fun to Read,Direct,,,,
Preschool (Age 3): ELA,Reading Literature,Early Readers,The Big Fish,Direct,,,,
Preschool (Age 3): ELA,Reading Literature,Early Readers,The Box,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Literature,Early Readers,Race to the Lake,Direct,,,,
Preschool (Age 3): ELA,Reading Literature,Early Readers,A Nice Day,Direct,,,,
Preschool (Age 3): ELA,Reading Literature,Early Readers,Ollo's Bike,Direct,,,,
Preschool (Age 3): ELA,Reading Literature,Early Readers,Peck Plays a Tune,Direct,,,,
Preschool (Age 3): ELA,Reading Literature,Stories,Play Ball,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Literature,Stories,Something New,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Literature,Stories,Why,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Literature,Stories,Being Together,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Literature,Stories,Cool Beans,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Informational Text,Non-Fiction: Animals,Baby Dogs,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Informational Text,Non-Fiction: Animals,Baby Horses,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Informational Text,Non-Fiction: Animals,Baby Tigers,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Informational Text,Non-Fiction: Animals,Baby Ducks,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Informational Text,Non-Fiction: Animals,Baby Gorillas,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Informational Text,Non-Fiction: Animals,Kangaroos,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Informational Text,Non-Fiction: Animals,Baby Hippos,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Informational Text,Non-Fiction: Animals,Baby Pandas,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Informational Text,Non-Fiction: Animals,Baby Elephants,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Informational Text,Non-Fiction: Animals,Snakes,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Informational Text,Non-Fiction: Animals,Butterflies,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Informational Text,Non-Fiction: Animals,Baby Rabbits,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Informational Text,Non-Fiction: Animals,Baby Pigs,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Informational Text,Non-Fiction: Animals,Baby Cats,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Informational Text,Non-Fiction: Animals,Baby Koalas,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Informational Text,Non-Fiction: Animals,Weasels,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Informational Text,Non-Fiction: Animals,Baby Zebras,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Informational Text,Non-Fiction: Animals,Sea Otters,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Informational Text,Non-Fiction: Animals,Baby Monkeys,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Informational Text,Non-Fiction: Animals,Toucans,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Informational Text,Non-Fiction: Animals,Baby Bears,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Informational Text,Non-Fiction: Animals,Red Pandas,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Informational Text,Non-Fiction: Animals,Flamingos,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Informational Text,Non-Fiction: Animals,Cockroaches,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Informational Text,Non-Fiction: Animals,Baby Lions,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Informational Text,Non-Fiction: Animals,Salamanders,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Informational Text,Non-Fiction: Animals,Chameleons,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Informational Text,Non-Fiction: Animals,Seal Pups,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Informational Text,Non-Fiction: Animals,Orangutans,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Informational Text,Non-Fiction: Animals,Baby Cheetahs,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Informational Text,Non-Fiction: Animals,Baby Penguins,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Informational Text,Non-Fiction: Animals,Monster Cranes,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Informational Text,Non-Fiction: Animals,Spider Monkeys,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Informational Text,Non-Fiction: Animals,Peacocks,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Informational Text,Non-Fiction: Animals,Hedgehogs,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Informational Text,Non-Fiction: Animals,Hummingbirds,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Informational Text,Non-Fiction: Animals,Baby Owls,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Informational Text,Non-Fiction: Animals,Raccoons,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Informational Text,Non-Fiction: Animals,Polar Bears,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Informational Text,Non-Fiction: Animals,Spring,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Informational Text,Non-Fiction: Animals,Bats,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Informational Text,Non-Fiction: Animals,Tree Frogs,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Informational Text,Non-Fiction: Animals,Snails,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Informational Text,Non-Fiction: Animals,Wild Turkeys,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Informational Text,Non-Fiction: Animals,Earthworms,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Informational Text,Non-Fiction: Animals,Baby Giraffes,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Informational Text,Non-Fiction: Animals,Moose,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Informational Text,Non-Fiction: Vehicles,Monster Cars,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Informational Text,Non-Fiction: Vehicles,Monster Dump Truck,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Informational Text,Non-Fiction: Vehicles,Monster Diggers,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Informational Text,Non-Fiction: Vehicles,Monster Ships,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Informational Text,Non-Fiction: Vehicles,Monster Trains,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Informational Text,Non-Fiction: Vehicles,Monster Trucks,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Informational Text,National Geographic Young Explorer,Leaf Cutter Ants,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Informational Text,National Geographic Young Explorer,Seeds Grow,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Informational Text,National Geographic Young Explorer,Food for Fido,Direct,,,,
Preschool (Age 3): ELA,Reading Informational Text,National Geographic Young Explorer,Looking at Eggs,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Informational Text,National Geographic Young Explorer,Baby on Board,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Informational Text,National Geographic Young Explorer,Out at Night,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Informational Text,National Geographic Young Explorer,Animal Groups,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Informational Text,National Geographic Young Explorer,Walk with Camels,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Informational Text,National Geographic Young Explorer,Bird Beaks,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Informational Text,National Geographic Young Explorer,Beaver Builders,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Informational Text,National Geographic Young Explorer,Drip Drop,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Informational Text,National Geographic Young Explorer,On the Move,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Informational Text,National Geographic Young Explorer,Plates on My Plate,Direct,,Viewed,,Viewed
Preschool (Age 3): ELA,Reading Informational Text,National Geographic Young Explorer,Push Push Pull,Direct,,Viewed,,Viewed
Preschool (Age 4): ELA,Reading Foundational Skills,Print Concepts: Parts of a Book,Title & Author,Main,,,,
Preschool (Age 4): ELA,Reading Foundational Skills,Print Concepts: Parts of a Book,Title & Author,Practice 1,,,,
Preschool (Age 4): ELA,Reading Foundational Skills,Print Concepts: Parts of a Book,Title & Author,Practice 2,,,,
Preschool (Age 4): ELA,Reading Foundational Skills,Print Concepts: Parts of a Book,Title & Author,Basic,,,,
Preschool (Age 4): ELA,Reading Foundational Skills,Print Concepts: Parts of a Book,Book Pages,Main,,,,
Preschool (Age 4): ELA,Reading Foundational Skills,Print Concepts: Parts of a Book,Book Pages,Practice 1,,,,
Preschool (Age 4): ELA,Reading Foundational Skills,Print Concepts: Parts of a Book,Book Pages,Practice 2,,,,
Preschool (Age 4): ELA,Reading Foundational Skills,Print Concepts: Parts of a Book,Book Pages,Basic,,,,
Preschool (Age 4): ELA,Reading Foundational Skills,"Print Concepts: Words, Letters",Words on Signs 1,Main,,,,100%
Preschool (Age 4): ELA,Reading Foundational Skills,"Print Concepts: Words, Letters",Words on Signs 1,Practice 1,,,,100%
Preschool (Age 4): ELA,Reading Foundational Skills,"Print Concepts: Words, Letters",Words on Signs 1,Practice 2,,100%,,100%
Preschool (Age 4): ELA,Reading Foundational Skills,"Print Concepts: Words, Letters",Words on Signs 1,Basic,,,,100%
Preschool (Age 4): ELA,Reading Foundational Skills,"Print Concepts: Words, Letters",Words on Signs 2,Main,,,,100%
Preschool (Age 4): ELA,Reading Foundational Skills,"Print Concepts: Words, Letters",Words on Signs 2,Practice 1,,,,100%
Preschool (Age 4): ELA,Reading Foundational Skills,"Print Concepts: Words, Letters",Words on Signs 2,Practice 2,,100%,,100%
Preschool (Age 4): ELA,Reading Foundational Skills,"Print Concepts: Words, Letters",Words on Signs 2,Basic,,,,100%
Preschool (Age 4): ELA,Reading Foundational Skills,"Print Concepts: Words, Letters",Writing Words,Direct,,,,
Preschool (Age 4): ELA,Reading Foundational Skills,"Print Concepts: Words, Letters",Letters & Words,Main,,,,87%
Preschool (Age 4): ELA,Reading Foundational Skills,"Print Concepts: Words, Letters",Letters & Words,Practice 1,,,,87%
Preschool (Age 4): ELA,Reading Foundational Skills,"Print Concepts: Words, Letters",Letters & Words,Practice 2,,87%,,87%
Preschool (Age 4): ELA,Reading Foundational Skills,"Print Concepts: Words, Letters",Letters & Words,Basic,,,,87%
Preschool (Age 4): ELA,Reading Foundational Skills,Phonological Awareness: Rhyming,Rhyming,Main,,,,
Preschool (Age 4): ELA,Reading Foundational Skills,Phonological Awareness: Rhyming,Rhyming,Practice 1,,,,
Preschool (Age 4): ELA,Reading Foundational Skills,Phonological Awareness: Rhyming,Rhyming,Practice 2,,,,
Preschool (Age 4): ELA,Reading Foundational Skills,Phonological Awareness: Rhyming,Rhyming,Basic,,,,
Preschool (Age 4): ELA,Reading Foundational Skills,Phonological Awareness: Syllables,Hear Syllables,Main,,,,
Preschool (Age 4): ELA,Reading Foundational Skills,Phonological Awareness: Syllables,Hear Syllables,Practice 1,,,,
Preschool (Age 4): ELA,Reading Foundational Skills,Phonological Awareness: Syllables,Hear Syllables,Practice 2,,,,
Preschool (Age 4): ELA,Reading Foundational Skills,Phonological Awareness: Syllables,Hear Syllables,Basic,,,,
Preschool (Age 4): ELA,Reading Foundational Skills,Phonological Awareness: Syllables,Blend Syllables,Main,,,,100%
Preschool (Age 4): ELA,Reading Foundational Skills,Phonological Awareness: Syllables,Blend Syllables,Practice 1,,,,100%
Preschool (Age 4): ELA,Reading Foundational Skills,Phonological Awareness: Syllables,Blend Syllables,Practice 2,,100%,,100%
Preschool (Age 4): ELA,Reading Foundational Skills,Phonological Awareness: Syllables,Blend Syllables,Basic,,,,100%
Preschool (Age 4): ELA,Reading Foundational Skills,Phonological Awareness: Syllables,Delete Syllables,Main,,81%,,74%
Preschool (Age 4): ELA,Reading Foundational Skills,Phonological Awareness: Syllables,Delete Syllables,Practice 1,,74%,,74%
Preschool (Age 4): ELA,Reading Foundational Skills,Phonological Awareness: Syllables,Delete Syllables,Practice 2,,83%,,74%
Preschool (Age 4): ELA,Reading Foundational Skills,Phonological Awareness: Syllables,Delete Syllables,Basic,,,,74%
Preschool (Age 4): ELA,Reading Foundational Skills,Phonological Awareness: Onset & Rime,Blend Sounds 1,Main,,95%,,93%
Preschool (Age 4): ELA,Reading Foundational Skills,Phonological Awareness: Onset & Rime,Blend Sounds 1,Practice 1,,93%,,93%
Preschool (Age 4): ELA,Reading Foundational Skills,Phonological Awareness: Onset & Rime,Blend Sounds 1,Practice 2,,100%,,93%
Preschool (Age 4): ELA,Reading Foundational Skills,Phonological Awareness: Onset & Rime,Blend Sounds 1,Basic,,100%,,93%
Preschool (Age 4): ELA,Reading Foundational Skills,Phonological Awareness: Onset & Rime,Beginning Sounds 1,Main,,,,81%
Preschool (Age 4): ELA,Reading Foundational Skills,Phonological Awareness: Onset & Rime,Beginning Sounds 1,Practice 1,,89%,,81%
Preschool (Age 4): ELA,Reading Foundational Skills,Phonological Awareness: Onset & Rime,Beginning Sounds 1,Practice 2,,81%,,81%
Preschool (Age 4): ELA,Reading Foundational Skills,Phonological Awareness: Onset & Rime,Beginning Sounds 1,Basic,,,,81%
Preschool (Age 4): ELA,Reading Foundational Skills,Phonological Awareness: Onset & Rime,Word Families,Main,,,,81%
Preschool (Age 4): ELA,Reading Foundational Skills,Phonological Awareness: Onset & Rime,Word Families,Practice 1,,81%,,81%
Preschool (Age 4): ELA,Reading Foundational Skills,Phonological Awareness: Onset & Rime,Word Families,Practice 2,,83%,,81%
Preschool (Age 4): ELA,Reading Foundational Skills,Phonological Awareness: Onset & Rime,Word Families,Basic,,,,81%
Preschool (Age 4): ELA,Reading Foundational Skills,Phonological Awareness: Three-Phoneme Words,Blend Sounds 2,Main,,81%,,100%
Preschool (Age 4): ELA,Reading Foundational Skills,Phonological Awareness: Three-Phoneme Words,Blend Sounds 2,Practice 1,,100%,,100%
Preschool (Age 4): ELA,Reading Foundational Skills,Phonological Awareness: Three-Phoneme Words,Blend Sounds 2,Practice 2,,100%,,100%
Preschool (Age 4): ELA,Reading Foundational Skills,Phonological Awareness: Three-Phoneme Words,Blend Sounds 2,Basic,85%,92%,,100%
Preschool (Age 4): ELA,Reading Foundational Skills,Phonological Awareness: Three-Phoneme Words,Beginning Sounds 2,Main,,,,76%
Preschool (Age 4): ELA,Reading Foundational Skills,Phonological Awareness: Three-Phoneme Words,Beginning Sounds 2,Practice 1,,93%,,76%
Preschool (Age 4): ELA,Reading Foundational Skills,Phonological Awareness: Three-Phoneme Words,Beginning Sounds 2,Practice 2,,76%,,76%
Preschool (Age 4): ELA,Reading Foundational Skills,Phonological Awareness: Three-Phoneme Words,Beginning Sounds 2,Basic,,100%,,76%
Preschool (Age 4): ELA,Reading Foundational Skills,Phonological Awareness: Three-Phoneme Words,Words: End Sound,Main,,,,71%
Preschool (Age 4): ELA,Reading Foundational Skills,Phonological Awareness: Three-Phoneme Words,Words: End Sound,Practice 1,,71%,,71%
Preschool (Age 4): ELA,Reading Foundational Skills,Phonological Awareness: Three-Phoneme Words,Words: End Sound,Practice 2,,,,71%
Preschool (Age 4): ELA,Reading Foundational Skills,Phonological Awareness: Three-Phoneme Words,Words: End Sound,Basic,,,,71%
Preschool (Age 4): ELA,Reading Foundational Skills,Phonological Awareness: Add Phonemes,Make New Words,Main,,,,100%
Preschool (Age 4): ELA,Reading Foundational Skills,Phonological Awareness: Add Phonemes,Make New Words,Practice 1,,94%,,100%
Preschool (Age 4): ELA,Reading Foundational Skills,Phonological Awareness: Add Phonemes,Make New Words,Practice 2,,100%,,100%
Preschool (Age 4): ELA,Reading Foundational Skills,Phonological Awareness: Add Phonemes,Make New Words,Basic,,,,100%
Preschool (Age 4): ELA,Reading Foundational Skills,Phonics: Extra Letter & Sounds Practice,Letter A Words,Direct,,Viewed,,Viewed
Preschool (Age 4): ELA,Reading Foundational Skills,Phonics: Extra Letter & Sounds Practice,Letter B Words,Direct,,Viewed,,Viewed
Preschool (Age 4): ELA,Reading Foundational Skills,Phonics: Extra Letter & Sounds Practice,Letter C Words,Direct,,Viewed,,Viewed
Preschool (Age 4): ELA,Reading Foundational Skills,Phonics: Extra Letter & Sounds Practice,Letter D Words,Direct,,Viewed,,Viewed
Preschool (Age 4): ELA,Reading Foundational Skills,Phonics: Extra Letter & Sounds Practice,Letter E Words,Direct,,Viewed,,Viewed
Preschool (Age 4): ELA,Reading Foundational Skills,Phonics: Extra Letter & Sounds Practice,Letter F Words,Direct,,Viewed,,Viewed
Preschool (Age 4): ELA,Reading Foundational Skills,Phonics: Extra Letter & Sounds Practice,Letter G Words,Direct,,Viewed,,Viewed
Preschool (Age 4): ELA,Reading Foundational Skills,Phonics: Extra Letter & Sounds Practice,Letter H Words,Direct,,Viewed,,Viewed
Preschool (Age 4): ELA,Reading Foundational Skills,Phonics: Extra Letter & Sounds Practice,Letter I Words,Direct,,,,
Preschool (Age 4): ELA,Reading Foundational Skills,Phonics: Extra Letter & Sounds Practice,Letter J Words,Direct,,Viewed,,Viewed
Preschool (Age 4): ELA,Reading Foundational Skills,Phonics: Extra Letter & Sounds Practice,Letter K Words,Direct,,,,
Preschool (Age 4): ELA,Reading Foundational Skills,Phonics: Extra Letter & Sounds Practice,Letter L Words,Direct,,,,
Preschool (Age 4): ELA,Reading Foundational Skills,Phonics: Extra Letter & Sounds Practice,Letter M Words,Direct,,Viewed,,Viewed
Preschool (Age 4): ELA,Reading Foundational Skills,Phonics: Extra Letter & Sounds Practice,Letter N Words,Direct,,Viewed,,Viewed
Preschool (Age 4): ELA,Reading Foundational Skills,Phonics: Extra Letter & Sounds Practice,Letter O Words,Direct,,,,
Preschool (Age 4): ELA,Reading Foundational Skills,Phonics: Extra Letter & Sounds Practice,Letter P Words,Direct,,,,
Preschool (Age 4): ELA,Reading Foundational Skills,Phonics: Extra Letter & Sounds Practice,Letter Q Words,Direct,,,,
Preschool (Age 4): ELA,Reading Foundational Skills,Phonics: Extra Letter & Sounds Practice,Letter R Words,Direct,,Viewed,,Viewed
Preschool (Age 4): ELA,Reading Foundational Skills,Phonics: Extra Letter & Sounds Practice,Letter S Words,Direct,,Viewed,,Viewed
Preschool (Age 4): ELA,Reading Foundational Skills,Phonics: Extra Letter & Sounds Practice,Letter T Words,Direct,,,,
Preschool (Age 4): ELA,Reading Foundational Skills,Phonics: Extra Letter & Sounds Practice,Letter U Words,Direct,,,,
Preschool (Age 4): ELA,Reading Foundational Skills,Phonics: Extra Letter & Sounds Practice,Letter V Words,Direct,,Viewed,,Viewed
Preschool (Age 4): ELA,Reading Foundational Skills,Phonics: Extra Letter & Sounds Practice,Letter W Words,Direct,,,,
Preschool (Age 4): ELA,Reading Foundational Skills,Phonics: Extra Letter & Sounds Practice,Letter X Words,Direct,,,,
Preschool (Age 4): ELA,Reading Foundational Skills,Phonics: Extra Letter & Sounds Practice,Letter Y Words,Direct,,Viewed,,Viewed
Preschool (Age 4): ELA,Reading Foundational Skills,Phonics: Extra Letter & Sounds Practice,Letter Z Words,Direct,,,,
Preschool (Age 4): ELA,Reading Foundational Skills - Phonics,Lowercase Letters,Lowercase a,Main,100%,100%,100%,100%
Preschool (Age 4): ELA,Reading Foundational Skills - Phonics,Lowercase Letters,Lowercase a,Practice 1,88%,88%,100%,100%
Preschool (Age 4): ELA,Reading Foundational Skills - Phonics,Lowercase Letters,Lowercase a,Practice 2,80%,100%,100%,100%
Preschool (Age 4): ELA,Reading Foundational Skills - Phonics,Lowercase Letters,Lowercase a,Basic,80%,80%,100%,100%
Preschool (Age 4): ELA,Reading Foundational Skills - Phonics,Lowercase Letters,Lowercase b,Main,80%,88%,100%,100%
Preschool (Age 4): ELA,Reading Foundational Skills - Phonics,Lowercase Letters,Lowercase b,Practice 1,100%,85%,100%,100%
Preschool (Age 4): ELA,Reading Foundational Skills - Phonics,Lowercase Letters,Lowercase b,Practice 2,100%,100%,100%,100%
Preschool (Age 4): ELA,Reading Foundational Skills - Phonics,Lowercase Letters,Lowercase b,Basic,100%,100%,100%,100%
Preschool (Age 4): ELA,Reading Foundational Skills - Phonics,Lowercase Letters,Lowercase c,Main,80%,80%,80%,100%
Preschool (Age 4): ELA,Reading Foundational Skills - Phonics,Lowercase Letters,Lowercase c,Practice 1,100%,100%,80%,100%
Preschool (Age 4): ELA,Reading Foundational Skills - Phonics,Lowercase Letters,Lowercase c,Practice 2,100%,100%,80%,100%
Preschool (Age 4): ELA,Reading Foundational Skills - Phonics,Lowercase Letters,Lowercase c,Basic,80%,80%,80%,100%
Preschool (Age 4): ELA,Reading Foundational Skills - Phonics,Lowercase Letters,Lowercase d,Main,80%,100%,85%,100%
Preschool (Age 4): ELA,Reading Foundational Skills - Phonics,Lowercase Letters,Lowercase d,Practice 1,85%,100%,85%,100%
Preschool (Age 4): ELA,Reading Foundational Skills - Phonics,Lowercase Letters,Lowercase d,Practice 2,100%,100%,85%,100%
Preschool (Age 4): ELA,Reading Foundational Skills - Phonics,Lowercase Letters,Lowercase d,Basic,85%,100%,85%,100%
Preschool (Age 4): ELA,Reading Foundational Skills - Phonics,Lowercase Letters,Lowercase e,Main,80%,100%,100%,100%
Preschool (Age 4): ELA,Reading Foundational Skills - Phonics,Lowercase Letters,Lowercase e,Practice 1,88%,88%,100%,100%
Preschool (Age 4): ELA,Reading Foundational Skills - Phonics,Lowercase Letters,Lowercase e,Practice 2,100%,100%,100%,100%
Preschool (Age 4): ELA,Reading Foundational Skills - Phonics,Lowercase Letters,Lowercase e,Basic,100%,100%,100%,100%
Preschool (Age 4): ELA,Reading Foundational Skills - Phonics,Lowercase Letters,Lowercase f,Main,85%,100%,88%,100%
