student,title,start_date,eligible_date,reason
Student A,"Words with b, c, d",2026-09-11,2026-10-11,"30-day instructional quarantine after the latest Main attempt scored 39%; preserve for later retry"
Student A,"Words with f, g, h",2026-09-11,2026-10-11,"30-day instructional quarantine of the CVC beginning-sounds lesson type after poor transfer on Words with b, c, d"
Student A,"Words with j, k, l",2026-09-11,2026-10-11,"30-day instructional quarantine of the CVC beginning-sounds lesson type after poor transfer on Words with b, c, d"
Student A,"Words with m, n, p",2026-09-11,2026-10-11,"30-day instructional quarantine of the CVC beginning-sounds lesson type after poor transfer on Words with b, c, d"
Student A,Other Words,2026-09-11,2026-10-11,"30-day instructional quarantine of the CVC beginning-sounds lesson type after poor transfer on Words with b, c, d"
Student A,Words: End Sound,2026-09-12,2026-09-26,"14-day instructional quarantine after 4 Main attempts; latest score is below 70% (69%); scores: 83% → 56% → 68% → 69%"
